Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
0,"Javier Antonio Gonzalez-Trejo, Diego A. Mercado-Ravell, Uziel Jaramillo-Avila","Monitoring social-distance in wide areas during pandemics: a density map and segmentation approach",2022,"Applied Intelligence","","https://link.springer.com/10.1007/s10489-022-03172-5","",13,"2024-04-16 13:37:00","JOUR","10.1007/s10489-022-03172-5","0924-669X, 1573-7497","",52,12,13824,13838,0,0.00,0,3,2,"","",""
0,"S. Jeba Berlin, Mala John","Particle swarm optimization with deep learning for human action recognition",2020,"Multimedia Tools and Applications","","http://link.springer.com/10.1007/s11042-020-08704-0","",14,"2024-04-16 13:37:00","JOUR","10.1007/s11042-020-08704-0","1380-7501, 1573-7721","",79,25,17349,17371,0,0.00,0,2,4,"","",""
0,"Yu Shao, Jianhua Hu, Lihua Hu, Jifu Zhang, Xinbo Wang","Context feature fusion and enhanced non-maximum suppression for pedestrian detection in crowded scenes",2024,"Multimedia Tools and Applications","","https://link.springer.com/10.1007/s11042-024-18865-x","",15,"2024-04-16 13:37:00","JOUR","10.1007/s11042-024-18865-x","1573-7721","",,,,,0,0.00,0,5,1,"","",""
0,"Wenzhe Zhai, Qilei Li, Ying Zhou, Xuesong Li, Jinfeng Pan, Guofeng Zou, Mingliang Gao","$$\hbox {DA}^2$$Net: a dual attention-aware network for robust crowd counting",2023,"Multimedia Systems","","https://link.springer.com/10.1007/s00530-021-00877-4","",16,"2024-04-16 13:37:00","JOUR","10.1007/s00530-021-00877-4","0942-4962, 1432-1882","",29,5,3027,3040,0,0.00,0,7,1,"","",""
0,"Juginder Pal Singh, Manoj Kumar","Conditional autoregressive-tunicate swarm algorithm based generative adversarial network for violent crowd behavior recognition",2023,"Artificial Intelligence Review","","https://link.springer.com/10.1007/s10462-023-10571-8","",17,"2024-04-16 13:37:00","JOUR","10.1007/s10462-023-10571-8","0269-2821, 1573-7462","",56,,2099,2123,0,0.00,0,2,1,"","",""
0,"Ruize Han, Yiyang Gan, Likai Wang, Nan Li, Wei Feng, Song Wang","Relating View Directions of Complementary-View Mobile Cameras via the Human Shadow",2023,"International Journal of Computer Vision","","https://link.springer.com/10.1007/s11263-022-01744-z","",18,"2024-04-16 13:37:00","JOUR","10.1007/s11263-022-01744-z","0920-5691, 1573-1405","",131,5,1106,1121,0,0.00,0,6,1,"","",""
0,"Alala Bahamid, Azhar Mohd Ibrahim","A review on crowd analysis of evacuation and abnormality detection based on machine learning systems",2022,"Neural Computing and Applications","","https://link.springer.com/10.1007/s00521-022-07758-5","",19,"2024-04-16 13:37:00","JOUR","10.1007/s00521-022-07758-5","0941-0643, 1433-3058","",34,24,21641,21655,0,0.00,0,2,2,"","",""
0,"Mehmet Åžirin GÃ¼ndÃ¼z, GÃ¼ltekin IÅŸÄ±k","A new YOLO-based method for real-time crowd detection from video and performance analysis of YOLO models",2023,"Journal of Real-Time Image Processing","","https://link.springer.com/10.1007/s11554-023-01276-w","",20,"2024-04-16 13:37:00","JOUR","10.1007/s11554-023-01276-w","1861-8200, 1861-8219","",20,1,5,,0,0.00,0,2,1,"","",""
0,"Zhuangzhuang Miao, Yong Zhang, Yuan Peng, Haocheng Peng, Baocai Yin","DTCC: Multi-level dilated convolution with transformer for weakly-supervised crowd counting",2023,"Computational Visual Media","","https://link.springer.com/10.1007/s41095-022-0313-5","",21,"2024-04-16 13:37:00","JOUR","10.1007/s41095-022-0313-5","2096-0433, 2096-0662","",9,4,859,873,0,0.00,0,5,1,"Abstract","",""
0,"Haoyu Zhao, Weidong Min, Jianqiang Xu, Qi Wang, Yi Zou, Qiyan Fu","Scene-adaptive crowd counting method based on meta learning with dual-input network DMNet",2023,"Frontiers of Computer Science","","https://link.springer.com/10.1007/s11704-021-1207-x","",22,"2024-04-16 13:37:00","JOUR","10.1007/s11704-021-1207-x","2095-2228, 2095-2236","",17,1,171304,,0,0.00,0,6,1,"","",""
0,"Zhouzhou Ma, Guanghua Gu, Wenrui Zhao","Self-attention Guidance Based Crowd Localization and Counting",2024,"Machine Intelligence Research","","https://link.springer.com/10.1007/s11633-023-1428-6","",23,"2024-04-16 13:37:00","JOUR","10.1007/s11633-023-1428-6","2731-538X, 2731-5398","",,,,,0,0.00,0,3,1,"","",""
0,"Mingsheng Liu, Yu Wang, Hu Yi, Xiaohui Huang","Vehicle object counting network based on feature pyramid split attention mechanism",2024,"The Visual Computer","","https://link.springer.com/10.1007/s00371-023-02808-y","",24,"2024-04-16 13:37:00","JOUR","10.1007/s00371-023-02808-y","0178-2789, 1432-2315","",40,2,663,680,0,0.00,0,4,1,"","",""
0,"Md Roman Bhuiyan, Junaidi Abdullah, Noramiza Hashim, Fahmid Al Farid, Jia Uddin","Hajj pilgrimage abnormal crowd movement monitoring using optical flow and FCNN",2023,"Journal of Big Data","","https://journalofbigdata.springeropen.com/articles/10.1186/s40537-023-00779-4","",25,"2024-04-16 13:37:00","JOUR","10.1186/s40537-023-00779-4","2196-1115","",10,1,86,,0,0.00,0,5,1,"Abstract","",""
0,"Priya Roy, Chandreyee Chowdhury","A survey on ubiquitous WiFi-based indoor localization system for smartphone users from implementation perspectives",2022,"CCF Transactions on Pervasive Computing and Interaction","","https://link.springer.com/10.1007/s42486-022-00089-3","",26,"2024-04-16 13:37:00","JOUR","10.1007/s42486-022-00089-3","2524-521X, 2524-5228","",4,3,298,318,0,0.00,0,2,2,"","",""
0,"Zafar Aziz, Naeem Bhatti, Hasan Mahmood, Muhammad Zia","Video anomaly detection and localization based on appearance and motion models",2021,"Multimedia Tools and Applications","","https://link.springer.com/10.1007/s11042-021-10921-0","",27,"2024-04-16 13:37:00","JOUR","10.1007/s11042-021-10921-0","1380-7501, 1573-7721","",80,17,25875,25895,0,0.00,0,4,3,"","",""
0,"Gaoyi Zhu, Xin Zeng, Xiangjie Jin, Jun Zhang","Metro passengers counting and density estimation via dilated-transposed fully convolutional neural network",2021,"Knowledge and Information Systems","","https://link.springer.com/10.1007/s10115-021-01563-7","",28,"2024-04-16 13:37:00","JOUR","10.1007/s10115-021-01563-7","0219-1377, 0219-3116","",63,6,1557,1575,0,0.00,0,4,3,"","",""
